Guest_ID,First_Name,Last_Name,Email,Phone,Relationship,RSVP_Status,Dietary_Restrictions,Plus_One,Table_Number,Gift_Received
26,Amanda,Allergic,amanda.epipen@hospital.com,555-0126,Bride's Friend,Accepted,Allergic to everything,Yes,2,Brought own food
27,Greg,Guitarist,greg.music@unplugged.com,555-0127,Cousin,Accepted,None,Yes,8,Brought acoustic guitar
28,Cindy,Singlesoon,cindy.lawyer@divorce.com,555-0128,Bride's Attorney Friend,Declined,None,No,0,Sent prenup template
29,Walter,Wealthy,walter.money@richguy.com,555-0129,Groom's Mentor,Accepted,None,Yes,1,Gave suspiciously large check
30,Tiffany,Teenager,tiffany.tiktoker@gen.z,555-0130,Bride's Niece,Accepted,Only pizza,No,7,Filmed everything
31,Roger,Rambler,roger.stories@longwinded.com,555-0131,Groom's Grandfather,Accepted,Low sodium,No,1,45-minute toast
32,Vanessa,Vegan,vanessa.plants@herbivore.org,555-0132,College Friend,Accepted,Vegan (told everyone),Yes,9,Judged meat eaters
33,Nick,Napster,nick.snooze@sleepy.com,555-0133,Coworker,Accepted,None,No,11,Napped during ceremony
34,Olivia,Organized,olivia.planner@type.a,555-0134,Bride's Sister,Accepted,None,Yes,5,Took over planning
35,Paul,Politician,paul.vote@campaign.gov,555-0135,Bride's Uncle,Accepted,None,Yes,12,Gave stump speech
36,Quinn,Questionable,quinn.hmm@suspicious.com,555-0136,Plus One of Plus One,Accepted,None,No,10,Nobody knows them
37,Rita,Reunion,rita.highschool@nostalgia.com,555-0137,Bride's Old Friend,Accepted,None,No,6,Brought yearbook
38,Steve,Sweaty,steve.dance@moves.com,555-0138,Groom's Dance Partner,Accepted,Low-carb,Yes,8,Danced for 5 hours
39,Tammy,Toddler,tammy.mom@chaos.com,555-0139,Bride's Friend,Accepted,None,Yes (3 kids),2,Kids destroyed cake
40,Victor,Videographer,victor.film@documentary.com,555-0140,Friend,Accepted,None,Yes,4,Made it weird and artsy
41,Wendy,Weatherlady,wendy.forecast@news.com,555-0141,Local Celebrity,Accepted,None,No,3,Predicted rain (was right)
42,Xavier,Xerox,xavier.copy@office.com,555-0142,Groom's Coworker,Tentative,None,No,11,Photocopied butt
43,Yolanda,Yoga,yolanda.namaste@flexible.com,555-0143,Bride's Instructor,Accepted,Raw food only,Yes,9,Did yoga during cocktail hour
44,Zachary,Zoologist,zach.animals@zoo.org,555-0144,Childhood Friend,Accepted,None,Yes,7,Brought service peacock
45,Agnes,Ancient,agnes.old@century.net,555-0145,Great Aunt,Accepted,Dentures-friendly,No,1,Thought it was a funeral
46,Bernard,Boring,bernard.snore@dull.com,555-0146,Distant Relative,Declined,None,No,0,Too exciting for him
47,Candy,Cateringthief,candy.doggy@bag.com,555-0147,Bride's Friend,Accepted,None,No,6,Stole centerpieces
48,Dennis,Drone,dennis.aerial@video.com,555-0148,Groom's Friend,Accepted,None,Yes,10,Drone crashed in cake
49,Eleanor,Elderly,eleanor.sweet@bingo.net,555-0149,Bride's Grandmother,Accepted,Soft foods,No,1,Gave $20 and candy
50,Felix,Photographer,felix.uninvited@freelance.com,555-0150,Crashed,Accepted,None,No,0,Not the hired photographer
